File: api
Type: alloc_objects
Time: 2026-05-03 17:42:11 IST
Showing nodes accounting for 35234182, 44.83% of 78601926 total
Dropped 148 nodes (cum <= 393009)
Showing top 20 nodes out of 34
      flat  flat%   sum%        cum   cum%
         0     0%     0%   75102970 95.55%  github.com/gofiber/fiber/v2.(*App).next
         0     0%     0%   71174135 90.55%  github.com/gofiber/fiber/v2.(*Ctx).Next
         0     0%     0%   40685591 51.76%  main.main.RequestLogger.func11
         0     0%     0%   40685591 51.76%  main.main.Timeout.func10.1
         0     0%     0%   37838570 48.14%  github.com/valyala/fasthttp.(*Server).serveConn
         0     0%     0%   37838570 48.14%  github.com/valyala/fasthttp.(*workerPool).getCh.func1
         0     0%     0%   37838570 48.14%  github.com/valyala/fasthttp.(*workerPool).workerFunc
         0     0%     0%   37837099 48.14%  github.com/gofiber/fiber/v2.(*App).handler
   3768377  4.79%  4.79%   37828796 48.13%  main.main.RequestID.New.func20
         0     0%  4.79%   37274174 47.42%  main.main.CompressIfLarge.func12
  10361262 13.18% 17.98%   37274174 47.42%  main.main.RateLimiter.NamedRateLimiter.func21
         0     0% 17.98%   30488544 38.79%  github.com/gofiber/fiber/v2/middleware/cors.New.func1
         0     0% 17.98%   30488544 38.79%  github.com/gofiber/fiber/v2/middleware/csrf.New.func1
         0     0% 17.98%   30488544 38.79%  github.com/gofiber/helmet/v2.New.func1
  14519958 18.47% 36.45%   30488544 38.79%  main.main.Timeout.func10
   3287873  4.18% 40.63%   20162121 25.65%  encoding/json.Marshal
         0     0% 40.63%   20162121 25.65%  github.com/gofiber/fiber/v2.(*Ctx).JSON
         0     0% 40.63%   16862870 21.45%  encoding/json.(*encodeState).marshal
         0     0% 40.63%   16862870 21.45%  encoding/json.(*encodeState).reflectValue
   3296712  4.19% 44.83%   16862870 21.45%  encoding/json.mapEncoder.encode
